sede_code,municipality_code,municipality_name,state_code,state_name,score,school_name,dane_code,address,phone,department,municipality,calendar,sector,area,dean
219780001218,19780,SUAREZ,19,CAUCA,63.56648678509905,INSTITUCION EDUCATIVA ASNAZU,219780001218,CORREGIMIENTO ASNAZU,3217813874,CAUCA,SUÁREZ,A,OFICIAL,RURAL,JOSE NEFER MANCILLA CARABALI
227495000260,27495,NUQUI,27,CHOCO,77.98220622383613,CE PASCUAL SANTANDER,227495000260,CORREG DE JURUBIRA,3136142024,CHOCÓ,NUQUÍ,A,OFICIAL,RURAL,WENCESLADO HURTADO POTES
176109002802,76109,BUENAVENTURA,76,VALLE,65.19399827119143,INSTITUCION EDUCATIVA DIOCESANA JESUS ADOLESCENTE,176109002802,IND CL 6 KR 6 TRIUNFO CARR. SIMON BOLIVAR VIA AEROPUERTO KM 13,3172559056 - 3183606951,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,URBANA,VERGARA MUÑOZ HECTOR FERNEY
227205000954,27580,RIO IRO,27,CHOCO,51.24401211926703,IE JESUS ANTONIO RIVAS,227205000954,RIO IRO,3148153482,CHOCÓ,RÍO IRÓ,A,OFICIAL,"URBANA , RURAL",MARIA LILIANA SANCHEZ IBARGUEN
376109005797,76109,BUENAVENTURA,76,VALLE,79.45848518416477,PATRICIO SYMES,376109005797,CL 6 40 A 56,2403965,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,FRANCY LIDY BURITICA OSORIO
152473000517,52473,MOSQUERA,52,NARIÑO,37.14244176824393,INSTITUCION EDUCATIVA LICEO DEL PACIFICO,152473000517,IND BARRIO AEROPUERTO MPIO MOSQUERA,3136522040,NARIÑO,MOSQUERA,A,OFICIAL,URBANA,EDISON ANTONIO VASQUEZ MORENO
89038082873O,19075,BALBOA,19,CAUCA,71.20515435614016,,,,,,,,,,
219473006636,19473,MORALES,19,CAUCA,71.04936572488509,I.E.DPTAL INDG MISAK MISAK ALA KUSREINUK MINGA EDUCATIVA INTERCULTURAL KURAK CHAK,219473006636,VEREDA BONANZA,3108349696,CAUCA,MORALES,A,OFICIAL,RURAL,JOSÉ ANTONIO ULLUNE USSA
152250000566,52250,EL CHARCO,52,NARIÑO,63.557302077380655,INSTITUCION EDUCATIVA TECNICA COMERCIAL SAN JUAN BAUTISTA,152250000566,KR 2 12 25,3137801363,NARIÑO,EL CHARCO,A,OFICIAL,URBANA,MODESTO TOLOZA CASTRO
319573000818,19573,PUERTO TEJADA,19,CAUCA,78.19523236407204,INSTITUCION EDUCATIVA CIENCIAS DEL SABER INECS,319573000818,KR 19 18 29,3174077604,CAUCA,PUERTO TEJADA,A,NO OFICIAL,URBANA,EVER ZAPATA GONZALEZ
219473000891,19473,MORALES,19,CAUCA,41.66264175232979,INSTITUCION EDUCATIVA INTERCULTURAL SEK WALAC A (SOL CRECIENTE),219473000891,VEREDA LA BODEGA,3163998683,CAUCA,MORALES,A,OFICIAL,RURAL,LUBER CALAMBAS RIVERA
219142000077,19142,CALOTO,19,CAUCA,50.92787787169598,INSTITUCION EDUCATIVA AGROPECUARIA ETNOEDUCATIVA EL CREDO,219142000077,VDA. EL CREDO,3136469699,CAUCA,CALOTO,A,OFICIAL,RURAL,WILIAM ASCUE FERNANDEZ
6272048O1618,19473,MORALES,19,CAUCA,58.43186793591673,,,,,,,,,,
219256000191,19256,EL TAMBO,19,CAUCA,63.616788694621356,INSTITUCION EDUCATIVA CUATRO ESQUINAS,219256000191,CORREGIMIENTO CUATRO ESQUINAS,3122625535,CAUCA,EL TAMBO,A,OFICIAL,RURAL,JESUS HUMBERTO NARVAEZ MORILLO
176109000311,76109,BUENAVENTURA,76,VALLE,61.89268481543597,LAS AMERICAS,176109000311,KR 65 A CL 6 A 00,,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,URBANA,JUAN DEMETRIO PANAMEÑO VALENCIA
176109000311,76109,BUENAVENTURA,76,VALLE,61.89268481543597,LAS AMERICAS,176109000311,KR 65 A CL 6 A 00,,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,URBANA,JUAN DEMETRIO PANAMEÑO VALENCIA
527610900095,76109,BUENAVENTURA,76,VALLE,55.66430635728639,,,,,,,,,,
276109002009,76109,BUENAVENTURA,76,VALLE,60.20730928934018,RAUL OREJUELA BUENO,276109002009,RIO NAYA,2401972- 3183202029- 3113121558- 3163535169,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,RURAL,ROSA NINFA CUERO SANTANA
219698001595,19698,SANTANDER DE QUILICHAO,19,CAUCA,63.236413390994755,I.E. JOSE MARIA CORDOBA,219698001595,CORREGIMIENTO DE MONDOMO BARRIO BELEN,3168727172,CAUCA,SANTANDER DE QUILICHAO,A,OFICIAL,RURAL,JOSE EYBER VELASCO TRUJILLO
227361001286,27250,EL LITORAL DEL SAN JUAN,27,CHOCO,47.4393143647558,CE MARIA AUXILIADORA DE CUCURRUPI,227361001286,CORREG CUCURRUPI,3105970395,CHOCÓ,EL LITORAL DEL SAN JUAN,A,OFICIAL,RURAL,HUBERT GAMBOA MORENO
119318000023,19318,GUAPI,19,CAUCA,27.245919532170497,INSTITUCION EDUCATIVA NORMAL SUPERIOR LA INMACULADA,119318000023,KR 2 13 110,3122028263,CAUCA,GUAPI,A,OFICIAL,URBANA,RELLY RIASCOS CASTRO
227491000273,27491,NOVITA,27,CHOCO,67.30316497911542,CE SAN ONOFRE,227491000273,JUNTAS DEL TAMANA,3148692220,CHOCÓ,NÓVITA,A,OFICIAL,RURAL,JUAN FRANCISCO RIVAS TORRES
227075000213,27075,BAHIA SOLANO (MUTIS),27,CHOCO,55.186702408616384,IE NORMAL SUPERIOR SANTA TERESITA,227075000213,EL VALLE,6827910-3206588286,CHOCÓ,BAHÍA SOLANO,A,OFICIAL,RURAL,FILIBERTO MENA DOMINGUEZ
376109009326,76109,BUENAVENTURA,76,VALLE,61.29874150657772,LICEO EL LIBERTADOR,376109009326,KR 44 2 35,,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,JULIO ERNESTO ASTUDILLO ESTUPIÑAN
252835003891,52835,TUMACO,52,NARIÑO,70.07630692560357,IE. MANUEL BENITEZ DUCLERG,252835003891,CORREGIMIENTO PITAL DE LA COSTA,3232258185,NARIÑO,SAN ANDRES DE TUMACO,A,OFICIAL,RURAL,EDUD CETRE GARCIA
152835004958,52835,TUMACO,52,NARIÑO,57.586149919385726,IE .INST. TEC. POPULAR DE LA COSTA,152835004958,AV LA PLAYA 6 40 <EOF>,7277621-3147455267-3208236907,NARIÑO,SAN ANDRES DE TUMACO,A,OFICIAL,URBANA,ORTIZ ORTIZ CARLOS ALFREDO
276109002939,76109,BUENAVENTURA,76,VALLE,68.77602527901027,ATANASIO GIRARDOT,276109001266,ZACARIAS RIO DAGUA,3154066261 - 3173663323,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,RURAL,OLGA MARIA RIASCOS MOSQUERA
219142000239,19300,GUACHENÉ,19,CAUCA,60.47405911373519,INSTITUCION EDUCATIVA ECOLOGICA VEREDAS UNIDAS BARRAGAN,219142000239,VEREDA BARRAGAN,3122060977,CAUCA,GUACHENÉ,A,OFICIAL,RURAL,JORGE ENRIQUE TEJADA VIAFARA
127615001902,27615,RIOSUCIO,27,CHOCO,79.66612051745534,IE NUESTROS ESFUERZOS,127615001902,SIN INFORMACION,3146329840,CHOCÓ,RIOSUCIO,A,OFICIAL,"URBANA , RURAL",PEDRO JOSE PALOMEQUE LEMUS
127615001902,27615,RIOSUCIO,27,CHOCO,79.66612051745534,IE NUESTROS ESFUERZOS,127615001902,SIN INFORMACION,3146329840,CHOCÓ,RIOSUCIO,A,OFICIAL,"URBANA , RURAL",PEDRO JOSE PALOMEQUE LEMUS
319573000567,19573,PUERTO TEJADA,19,CAUCA,61.625761180850496,COLEGIO BAHAI RUHI ARBAB,319573000567,CL 20 20 23,3177665403 - 3174020382,CAUCA,PUERTO TEJADA,A,NO OFICIAL,URBANA,WLDANIA GUTIERREZ DIAZ
376109011738,76109,BUENAVENTURA,76,VALLE,69.00992726530951,I.E. EL MODELO,376109011738,KR 41 A 5 A 04,,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,BENILDA ESTUPIÑAN SOLIS
376109000086,76109,BUENAVENTURA,76,VALLE,75.848003481039,SEMINARIO SAN BUENAVENTURA,376109000086,IND CALL 6 47C60,2420754,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,ALBA CELMIRA CASTILLO GOMEZ
319573000249,19573,PUERTO TEJADA,19,CAUCA,58.23211166721245,COLEGIO EVANGELICO EBENEZER,319573000249,KR 15 16 53,3104202394,CAUCA,PUERTO TEJADA,A,NO OFICIAL,URBANA,EDNA MELFI SALDAÑA CHARA
246827O25398,76109,BUENAVENTURA,76,VALLE,48.88777328101756,,,,,,,,,,
127099000210,27099,BOJAYA (BELLAVISTA),27,CHOCO,59.647417553468316,IE CESAR CONTO,127099000210,BELLAVISTA,3122586146,CHOCÓ,BOJAYA,A,OFICIAL,"URBANA , RURAL",ANA NECIS MENA RENTERIA
127099000210,27099,BOJAYA (BELLAVISTA),27,CHOCO,59.647417553468316,IE CESAR CONTO,127099000210,BELLAVISTA,3122586146,CHOCÓ,BOJAYA,A,OFICIAL,"URBANA , RURAL",ANA NECIS MENA RENTERIA
219780000246,19780,SUAREZ,19,CAUCA,59.466385071656866,INSTITUCION EDUCATIVA SANTA MARTA (ANTES CENTRO EDUCATIVO SANTA MARTA),219780000246,VEREDA SANTA MARTA,3137207617,CAUCA,SUÁREZ,A,OFICIAL,RURAL,JOSE DOBER LUCUMI URRUTIA
427361002222,27810,UNION PANAMERICANA,27,CHOCO,73.30168930603531,IE SANTO ECCEHOMO,427361002222,RASPADURA,3127986202,CHOCÓ,UNIÓN PANAMERICANA,A,OFICIAL,RURAL,ZAIDA INES ASPRILLA MOSQUERA
127001018001,27001,QUIBDO,27,CHOCO,79.92973641760108,IE DIOCESANO PEDRO GRAU Y AROLA,127001018001,IND PARQUE LA GLORIA,312 7345861,CHOCÓ,QUIBDÓ,A,OFICIAL,"URBANA , RURAL",JHON FITZGERALD MOSQUERA DUEÑAS
127001018001,27001,QUIBDO,27,CHOCO,79.92973641760108,IE DIOCESANO PEDRO GRAU Y AROLA,127001018001,IND PARQUE LA GLORIA,312 7345861,CHOCÓ,QUIBDÓ,A,OFICIAL,"URBANA , RURAL",JHON FITZGERALD MOSQUERA DUEÑAS
276109000855,76109,BUENAVENTURA,76,VALLE,65.37515918717915,ESTHER ETELVINA ARAMBURO,276109000855,RIO YURUMANGUI,3167560090-2413578,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,RURAL,EDDIL CAICEDO ARROYO
252490001220,52490,OLAYA HERRERA,52,NARIÑO,54.66856724325242,INSTITUCION EDUCATIVA SAN JOSE CALABAZAL,252490001220,VEREDA SAN JOSE CALABAZAL,3116050787,NARIÑO,OLAYA HERRERA,A,OFICIAL,RURAL,COLON SALAS PALOMINO
219698000319,19698,SANTANDER DE QUILICHAO,19,CAUCA,48.77081458845447,I. E. BAJO SAN FRANCISCO,219698000319,VEREDA BAJO SAN FRANCISCO,3205768532-8443856,CAUCA,SANTANDER DE QUILICHAO,A,OFICIAL,RURAL,IVAN HARDIEL ALAPE REALPE
152427000626,52427,MAGUI (PAYAN),52,NARIÑO,49.59228247147777,INSTITUCION EDUCATIVA ELISEO PAYAN,152427000626,IND MAGUI PAYAN (CASCO URBANO),3148859681,NARIÑO,MAGÜI,A,OFICIAL,"URBANA , RURAL",NORA AMERICA ANGULO QUIÑONES
127615000043,27615,RIOSUCIO,27,CHOCO,34.14989488456219,IE SAULO SANCHEZ CORDOBA,127615000043,RIOSUCIO,3137210968,CHOCÓ,RIOSUCIO,A,OFICIAL,"URBANA , RURAL",MARCO TULIO MORENO TERAN
419110001623,19110,BUENOS AIRES,19,CAUCA,55.68456940621553,INSTITUCION EDUCATIVA CERRO CATALINA,419110001623,VEREDA NUEVA GRANADA,3142405225,CAUCA,BUENOS AIRES,A,OFICIAL,RURAL,UBER DANILO DAZA PEÑA
319142001108,19142,CALOTO,19,CAUCA,56.66082186247448,COLEGIO PARA JOVENES Y ADULTOS JUAN PABLO II - COLJAPA,319142001108,CL 9 CON KR 5 ESQ,3137751841 - 3104123241,CAUCA,CALOTO,A,NO OFICIAL,URBANA,CARLOS ARMANDO UL ORTIZ
219110001641,19110,BUENOS AIRES,19,CAUCA,49.327290233047265,INSTITUCION EDUCATIVA AGROINDUSTRIAL VALENTIN CARABALI,219110001641,CORREGIMIENTO LA BALSA,3226551600,CAUCA,BUENOS AIRES,A,OFICIAL,RURAL,MARIA MERY PEÑA GONZALES
152835004109,52835,TUMACO,52,NARIÑO,56.3884926976176,IE. GENERAL SANTANDER,152835004109,IND CALLE NUEVA CREACION,3156614821,NARIÑO,SAN ANDRES DE TUMACO,A,OFICIAL,URBANA,GLADIS CECILIA CASTRO CABEZAS
152835000791,52835,TUMACO,52,NARIÑO,52.878161086319395,IE. IBERIA,152835000791,IND IBERIA,3167727841,NARIÑO,SAN ANDRES DE TUMACO,A,OFICIAL,URBANA,AMANDA DEL CARMEN GONZALEZ MARIN
376109015725,76109,BUENAVENTURA,76,VALLE,53.51898523858144,INSTITUCIÓN EDUCATIVA LA MEDALLA MILAGROSA,376109015725,CL 5 17 28,,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,GENOVEVA ALBORNOZ MINA
219212000339,19212,CORINTO,19,CAUCA,70.26733551914583,INSTITUCION EDUCATIVA AGROPECUARIA CARRIZALES,219212000339,VEREDA CARRIZALES,3136337150 3165435775,CAUCA,CORINTO,A,OFICIAL,RURAL,JUAN FERNANDO CAMPO RIVERA
152490000059,52490,OLAYA HERRERA,52,NARIÑO,57.245982041918055,INSTITUCION EDUCATIVA LITORAL PACIFICO,152490000059,IND AVENIDA LOS ESTUDIANTES,3167390623,NARIÑO,OLAYA HERRERA,A,OFICIAL,"URBANA , RURAL",LUCY JANETH RODRIGUEZ
352835007859,52835,TUMACO,52,NARIÑO,61.59624474818526,INSTITUCION EDUCATIVA LICEO SAN ANDRES DE TUMACO,352835007859,IND SALIDA CIUDADELA DIAGAONAL SECRETARIA DE TRANSITO DE TUMACO,3167520987 - 3146592069,NARIÑO,SAN ANDRES DE TUMACO,A,OFICIAL,URBANA,LEXINTON NESLER ANTE CABEZAS
352835007182,52835,TUMACO,52,NARIÑO,73.04593347082576,INST. MIXTO RENACER,352835007182,IND AVENIDA FERREA,3186423077 - 3167213016,NARIÑO,SAN ANDRES DE TUMACO,A,NO OFICIAL,URBANA,MARCOS JAVIER ALZAMORA QUIÑONES
219455000299,19455,MIRANDA,19,CAUCA,66.02975410320283,INSTITUCION EDUCATIVA EL CABILDO (ANTES CENTRO EDUCATIVO EL CABILDO),219455000299,VEREDA EL CABILDO,3104305276,CAUCA,MIRANDA,A,OFICIAL,RURAL,MARIA YINELA ZAMBRANO TROMPETA
219455000299,19455,MIRANDA,19,CAUCA,66.02975410320283,INSTITUCION EDUCATIVA EL CABILDO (ANTES CENTRO EDUCATIVO EL CABILDO),219455000299,VEREDA EL CABILDO,3104305276,CAUCA,MIRANDA,A,OFICIAL,RURAL,MARIA YINELA ZAMBRANO TROMPETA
119698000080,19698,SANTANDER DE QUILICHAO,19,CAUCA,61.625525469312755,I.E. TECNICO AMBIENTAL FERNANDEZ GUERRA,119698000080,CR. 5 7-60,3132343548,CAUCA,SANTANDER DE QUILICHAO,A,OFICIAL,"URBANA , RURAL",LUIS ALEXANDER NAVIA
119698000080,19698,SANTANDER DE QUILICHAO,19,CAUCA,61.625525469312755,I.E. TECNICO AMBIENTAL FERNANDEZ GUERRA,119698000080,CR. 5 7-60,3132343548,CAUCA,SANTANDER DE QUILICHAO,A,OFICIAL,"URBANA , RURAL",LUIS ALEXANDER NAVIA
376109007242,76109,BUENAVENTURA,76,VALLE,68.83679722531173,COLEGIO EL MUNDO DE DANI,376109007242,KR 66 26 36,2444498 - 3174016346,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,ALBA DORIS YEPES
119142000480,19142,CALOTO,19,CAUCA,71.90686306429338,INSTITUCION EDUCATIVA NUCLEO ESCOLAR RURAL CALOTO,119142000480,KR 5 7 80,3227384322,CAUCA,CALOTO,A,OFICIAL,URBANA,CARMEN ALEXANDRA REYES PEÑA
119212000032,19212,CORINTO,19,CAUCA,80.27633895675812,INSTITUCION EDUCATIVA NUCLEO TECNICO AGROPECUARIO,119212000032,KR. 15 NO. 2 - 27,3165783065,CAUCA,CORINTO,A,OFICIAL,"URBANA , RURAL",MAURICIO OSWALDO ALVAREZ ZUÑIGA
227245000523,27245,EL CARMEN,27,CHOCO,69.57625817154305,IE INDÍGENA TOBIAS QUERAGAMA,227245000523,CARMEN DE ATRATO,3127218266,CHOCÓ,EL CARMEN DE ATRATO,A,OFICIAL,RURAL,HUMBERTO TEQUIA SINTUA
219137001171,19137,CALDONO,19,CAUCA,49.85514332928612,I.E. INSTITUTO EDUCATIVO DE FORMACION INTERCULTURAL COMUNITARIO KWESX UMA KIWE - INFIKUK,119137000293,BARRIO OLAZA PRINCIPAL ASOCIACIÓN DE CABILDOS DEN CLADONO,3146806913,CAUCA,CALDONO,A,OFICIAL,"URBANA , RURAL",DIANA BEATRIZ TUMBO GARCIA
376109003522,76109,BUENAVENTURA,76,VALLE,69.31038013439118,CENTRO EDUCATIVO SANTA ELENA,376109003522,KR 59 6 45,2441866,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,JOSE IGNACIO QUIÑONEZ
152696000012,52696,SANTA BARBARA (ISCUANDE),52,NARIÑO,67.09417759373626,INSTITUCION EDUCATIVA POLITECNICA SANTA BARBARA,152696000012,IND ISCUANDE NARIÑO,3216361061,NARIÑO,SANTA BÁRBARA,A,OFICIAL,"URBANA , RURAL",YOLANDA SANCHEZ MICOLTA
176109003167,76109,BUENAVENTURA,76,VALLE,64.20555231456939,,,,,,,,,,
376109008303,76109,BUENAVENTURA,76,VALLE,66.58397465622495,CENTRO EDUCATIVO EUSEBIO ANGULO,376109008303,CL 3 A 88 62,3163406031,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,CAROLINA BONILLA MOSQUERA
376109008303,76109,BUENAVENTURA,76,VALLE,66.58397465622495,CENTRO EDUCATIVO EUSEBIO ANGULO,376109008303,CL 3 A 88 62,3163406031,VALLE DEL CAUCA,BUENAVENTURA,A,NO OFICIAL,URBANA,CAROLINA BONILLA MOSQUERA
219142000131,19300,GUACHENÉ,19,CAUCA,52.153736457458244,INSTITUCION EDUCATIVA LA CABAÑA,219142000131,VEREDA LA CABANA,3128067468,CAUCA,GUACHENÉ,A,OFICIAL,RURAL,MARCO JULIO MORENO OREJUELA
276109001266,76109,BUENAVENTURA,76,VALLE,75.64687369136692,ATANASIO GIRARDOT,276109001266,ZACARIAS RIO DAGUA,3154066261 - 3173663323,VALLE DEL CAUCA,BUENAVENTURA,A,OFICIAL,RURAL,OLGA MARIA RIASCOS MOSQUERA
219698000734,19845,VILLA RICA,19,CAUCA,64.33560808577438,I.E.T. SENON FABIO VILLEGAS,219698000734,KR 16 3 13,3176810294 - 8486275,CAUCA,VILLA RICA,A,OFICIAL,URBANA,DANNY LUZ ESCOBAR MACHADO
119473000081,19473,MORALES,19,CAUCA,74.59059538735806,INSTITUCION EDUCATIVA FRANCISCO ANTONIO RADA,119473000081,CL. PRINCIPAL BARRIO MODELO,3127761433,CAUCA,MORALES,A,OFICIAL,"URBANA , RURAL",SILVIO ANTONIO RUIZ MUÑOZ
119473000081,19473,MORALES,19,CAUCA,74.59059538735806,INSTITUCION EDUCATIVA FRANCISCO ANTONIO RADA,119473000081,CL. PRINCIPAL BARRIO MODELO,3127761433,CAUCA,MORALES,A,OFICIAL,"URBANA , RURAL",SILVIO ANTONIO RUIZ MUÑOZ
319698001859,19698,SANTANDER DE QUILICHAO,19,CAUCA,65.68835219099803,LICEO PEDAGOGICO QUILICHAO,319698001859,KR 11 11 55,8293427-3117484900,CAUCA,SANTANDER DE QUILICHAO,A,NO OFICIAL,URBANA,CELSA BEATRIZ ARRECHEA MOLINA
